;;;;;;;;;;;;
;NANA'S FARM FLOWS 1994/95 SEASON;;;;;;;;;;;
;Mean Daily Flows (m3/s);;;;;;;;;;;
;;;;;;;;;;;;
DAY;Oct; Nov;Dec ; Jan;Feb;Mar;Apr ;May;Jun;Jul;Aug;Sep
4;262;206;246;435;702;1210;2512;3252;2255;994;483;339
5;259;203;248;437;712;1259;2528;3275;2211;959;477;335
6;254;202;254;441;728;1313;2536;3284;2159;930;469;331
7;252;203;262;444;741;1354;2556;3285;2115;897;463;327
8;247;202;270;448;748;1421;2580;3284;2064;866;459;325
9;243;201;280;453;758;1482;2598;3288;2011;835;453;322
10;243;202;287;466;768;1540;2613;3289;1962;808;447;319
11;243;201;290;475;776;1603;2628;3288;1915;784;443;315
12;243;200;296;479;783;1652;2635;3287;1858;773;437;310
13;243;199;302;485;792;1742;2645;3284;1823;730;433;307
14;242;199;312;499;806;1848;2658;3273;1797;708;427;303
15;242;201;318;502;819;1920;2669;3235;1766;690;420;300
16;239;203;319;508;841;1998;2682;3191;1714;673;418;299
17;233;205;329;517;855;2048;2667;3144;1661;652;414;298
18;231;209;374;529;867;2089;2707;3097;1618;630;407;295
19;232;217;331;534;881;2136;2716;3061;1587;612;402;291
20;236;228;336;546;903;2180;2730;3023;1541;604;400;290
21;236;223;353;560;909;2214;2749;2981;1500;594;395;288
22;236;228;356;564;921;2257;2765;2936;1459;584;394;287
23;236;226;365;579;938;2316;2782;2911;1421;574;391;282
24;235;224;365;596;954;2356;2806;2892;1383;561;384;279
25;234;225;370;599;976;2387;2834;2868;1345;551;378;276
26;229;228;378;611;998;2397;2855;2828;1303;542;372;274
27;225;229;386;619;1025;2417;2891;2698;1271;535;367;273
28;225;232;396;630;1055;2428;2915;2650;1225;527;365;268
29;223;233;407;638;;2423;2981;2650;1195;521;363;262
30;221;236;398;645;;2438;3067;2526;1143;515;360;257
31;217;;403;653;;2463;;2470;;509;357;
;;;;;;;;;;;;
;;;;;;;;;;;;
;NANA'S FARM FLOWS 1999/2000 SEASON;;;;;;;;;;;
;Mean Daily Flows (m3/s);;;;;;;;;;;
;;;;;;;;;;;;
DAY;Oct; Nov;Dec ; Jan;Feb;Mar;Apr ;May;Jun;Jul;Aug;Sep
1;255;229;254;366;512;879;1204;2775;1894;927;451;330
2;254;227;261;372;516;879;1265;2759;1860;885;446;327
3;253;224;263;375;521;878;1345;2737;1827;855;443;324
4;251;222;274;378;517;874;1468;2710;1799;821;438;321
5;251;222;277;382;515;870;1635;2691;1772;797;431;318
6;247;223;286;389;520;871;1905;2669;1739;764;426;316
7;243;226;285;401;521;870;2210;2646;1708;739;421;312
8;240;228;284;410;523;867;2437;2646;1680;714;414;309
9;237;230;285;427;533;869;2602;2615;1659;689;413;307
10;237;232;288;428;532;872;2741;2583;1637;669;408;305
11;237;227;293;436;536;869;2902;2547;1615;654;403;302
12;238;228;299;433;541;874;3024;2511;1574;637;398;296
13;238;230;295;438;546;874;3125;2484;1541;622;392;294
14;237;230;297;447;560;880;3192;2438;1504;609;384;293
15;235;230;312;450;591;884;3247;2410;1471;595;381;289
16;234;232;323;472;587;895;3278;2400;1437;584;379;285
17;233;234;323;454;635;938;3269;2379;1408;568;377;284
18;233;236;318;452;600;949;3254;2352;1382;560;375;284
19;232;237;316;452;637;962;3226;2327;1342;542;372;280
20;232;238;318;453;625;975;3172;2299;1309;534;367;277
21;232;242;323;459;638;985;3144;2265;1275;522;366;274
22;234;244;324;463;641;1008;3111;2233;1243;517;363;269
23;237;247;325;475;655;1024;3080;2203;1208;509;361;267
24;241;247;329;483;764;1043;3046;2174;1175;502;356;265
25;242;249;333;498;753;1060;3006;2144;1148;495;353;263
26;242;246;338;502;779;1067;2966;2115;1115;487;349;263
27;241;246;339;512;789;1080;2935;2084;1076;479;345;260
28;241;244;347;508;858;1092;2891;2051;1042;474;342;256
29;240;247;355;507;;1113;2842;2018;979;470;336;254
30;230;252;360;507;;1133;2797;1989;966;464;333;253
31;233;;361;510;;1167;;1961;;457;333;
;;;;;;;;;;;;
;;;;;;;;;;;;
;NANA'S FARM FLOWS 2000\2001 SEASON;;;;;;;;;;;
;Mean Daily Flows (m3/s);;;;;;;;;;;
;;;;;;;;;;;;
DAY;Oct; Nov;Dec ; Jan;Feb;Mar;Apr ;May;Jun;Jul;Aug;Sep
1;253;189;209;426;705;1253;3119;3372;2646;1414;624;421
2;250;183;207;433;736;1282;3107;3384;2598;1381;618;417
3;246;193;212;442;738;1285;3097;3460;2555;1348;606;414
4;242;189;215;451;748;1379;3097;3493;2510;1314;601;409
5;242;185;223;467;755;1444;3082;3523;2456;1282;589;403
6;240;181;230;474;764;1502;3012;3546;2409;1250;585;401
7;237;179;237;482;770;1559;2981;3554;2358;1214;567;397
8;234;175;245;490;782;1642;2986;3559;2303;1188;555;390
9;231;179;253;499;846;1718;2986;3569;2262;1160;548;389
10;231;180;259;505;856;1758;3005;3566;2221;1145;542;385
11;230;180;264;515;849;1866;2988;3554;2175;1114;536;382
12;226;181;267;526;867;2048;2962;3518;2137;1067;529;379
13;222;182;268;540;870;2148;2948;3470;2097;1047;521;372
14;218;181;268;546;867;2332;2941;3435;2048;1017;515;368
15;217;179;273;559;885;2275;2929;3415;2008;984;509;361
16;214;177;289;568;895;2330;2915;3400;1963;954;504;356
17;210;177;296;574;901;2409;2900;3370;1921;909;496;355
18;207;179;300;585;917;2496;2905;3347;1883;898;488;354
19;203;183;306;590;934;2589;2915;3271;1844;873;486;353
20;201;185;317;604;947;2671;2922;3234;1800;825;481;351
21;197;188;333;609;957;2734;2953;3165;1788;794;477;348
22;193;192;343;615;1007;2804;2960;3126;1770;791;471;345
23;192;193;346;623;1027;2870;2986;3080;1756;776;464;340
24;192;200;363;634;1032;2979;3005;3032;1746;757;461;339
25;190;203;374;641;1050;3015;3051;2986;1736;726;456;338
26;188;202;377;654;1092;3063;3082;2934;1661;713;452;334
27;184;202;379;658;1106;3104;3121;2879;1561;697;443;333
28;180;203;391;675;1142;3126;3182;2832;1517;672;439;327
29;177;204;399;675;;3138;3231;2776;1489;660;435;320
30;180;209;410;687;;3133;3313;2734;1453;654;427;317
31;183;;422;694;;3128;;2685;;641;425;
;;;;;;;;;;;;
;;;;;;;;;;;;
;NANA'S FARM FLOWS 2001\2002 SEASON;;;;;;;;;;;
;Mean Daily Flows (m3/s);;;;;;;;;;;
;;;;;;;;;;;;
DAY;Oct; Nov;Dec ; Jan;Feb;Mar;Apr ;May;Jun;Jul;Aug;Sep
1;315;253;351;463;616;820;1483;1734;1838;1206;521;367
2;314;253;356;467;623;826;1506;1744;1832;1174;519;362
3;306;250;355;473;629;834;1530;1758;1806;1160;514;360
4;304;244;362;481;634;846;1555;1772;1796;1128;508;355
5;303;238;364;482;640;857;1576;1788;1782;1096;501;353
6;301;237;363;488;645;865;1587;1798;1772;1060;492;351
7;300;238;371;493;651;874;1599;1816;1760;1029;488;346
8;297;239;376;495;651;890;1605;1824;1746;957;477;344
9;294;241;392;501;658;904;1611;1828;1726;934;469;343
10;290;244;390;504;667;914;1616;1840;1714;917;467;344
11;288;247;401;512;675;926;1626;1852;1696;892;461;340
12;285;252;403;519;678;939;1634;1860;1677;857;454;336
13;279;253;407;531;690;954;1655;1872;1659;839;449;328
14;276;262;430;532;713;970;1661;1879;1638;803;446;321
15;269;270;438;540;713;993;1677;1885;1618;776;439;316
16;268;273;458;538;713;1009;1700;1887;1595;748;437;314
17;266;273;461;542;714;1025;1688;1889;1572;724;431;309
18;263;277;449;551;720;1052;1688;1893;1551;707;425;308
19;259;279;448;552;727;1077;1692;1889;1530;685;420;306
20;258;285;452;554;733;1101;1696;1887;1507;665;415;306
21;253;287;448;556;742;1121;1687;1887;1477;651;410;305
22;248;296;450;558;751;1150;1696;1889;1447;637;407;303
23;250;306;451;567;763;1178;1694;1887;1427;622;403;302
24;249;308;452;572;779;1204;1692;1887;1407;609;397;298
25;248;310;452;582;784;1239;1692;1885;1374;597;391;296
26;247;314;453;585;791;1278;1692;1881;1348;585;389;296
