Index,year,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Year,Station
5,,42,38,104,204,761,1695,-,281,153,101,72,51,year,1-105 Zambezi At Chavuma Mission (130400)
6,,42,36,104,208,764,1762,-,277,150,95,71,50,year,1-105 Zambezi At Chavuma Mission (130400)
7,,42,36,104,214,764,1789,-,273,148,90,70,49,year,1-105 Zambezi At Chavuma Mission (130400)
8,,42,36,107,219,765,1794,-,269,147,98,70,49,year,1-105 Zambezi At Chavuma Mission (130400)
9,,41,38,107,219,771,1727,-,265,144,96,69,47,year,1-105 Zambezi At Chavuma Mission (130400)
10,,40,40,107,219,780,1643,-,262,141,93,68,45,year,1-105 Zambezi At Chavuma Mission (130400)
11,,40,40,107,220,788,1596,-,260,140,91,68,45,year,1-105 Zambezi At Chavuma Mission (130400)
12,,40,40,107,214,814,1544,-,257,138,91,67,45,year,1-105 Zambezi At Chavuma Mission (130400)
13,,40,43,107,224,869,1492,-,253,135,90,65,45,year,1-105 Zambezi At Chavuma Mission (130400)
14,,40,47,109,232,897,1426,-,249,132,89,65,44,year,1-105 Zambezi At Chavuma Mission (130400)
15,,40,48,109,246,908,1342,-,245,129,89,65,43,year,1-105 Zambezi At Chavuma Mission (130400)
16,,40,54,111,269,918,1294,-,241,129,88,63,43,year,1-105 Zambezi At Chavuma Mission (130400)
17,,40,59,117,281,922,1227,-,237,127,86,63,43,year,1-105 Zambezi At Chavuma Mission (130400)
18,,39,63,118,283,925,1170,-,232,126,86,63,42,year,1-105 Zambezi At Chavuma Mission (130400)
19,,38,72,122,309,934,1141,-,225,-,85,63,42,year,1-105 Zambezi At Chavuma Mission (130400)
20,,38,74,126,429,1018,1099,-,218,-,84,63,42,year,1-105 Zambezi At Chavuma Mission (130400)
21,,38,77,129,621,1099,1051,-,213,-,84,61,41,year,1-105 Zambezi At Chavuma Mission (130400)
22,,36,79,129,511,1123,1007,-,206,-,83,60,41,year,1-105 Zambezi At Chavuma Mission (130400)
23,,36,80,130,553,1145,968,-,201,-,81,59,42,year,1-105 Zambezi At Chavuma Mission (130400)
24,,36,84,132,580,1165,947,-,199,-,81,58,42,year,1-105 Zambezi At Chavuma Mission (130400)
25,,36,87,137,624,1195,-,-,193,-,81,57,42,year,1-105 Zambezi At Chavuma Mission (130400)
26,,36,91,145,683,1211,-,-,189,-,79,56,41,year,1-105 Zambezi At Chavuma Mission (130400)
